"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Каталог товаров","0","Сохранение сессии","1","0","","0"
"0","Каталог товаров","0","Отображение контента","1","0","","0"
"0","Каталог товаров","0","Детальная страница товара","1","0","Проверка цены товара","0"
"0","Каталог товаров","0","Детальная страница товара","1","0","Добавление и удаление товаров","0"
"0","Каталог товаров","0","Безопасность и ограничение доступа","1","0","","0"
"0","Каталог товаров","0","Оформление заказа","1","0","Успешный сквозной заказ (E2E)","0"
"0","Каталог товаров","0","Сортировка","1","0","Сортировка по названию","0"
"0","Каталог товаров","0","Оформление заказа","1","0","Цикл добавления и удаления товара","0"
"0","Авторизация","0","Вход с невалидными данными","1","0","","0"
"0","Каталог товаров","0","Оформление заказа","1","0","Валидация формы Checkout","0"
"0","Каталог товаров","0","Сортировка","1","0","Сортировка по цене","0"
"0","Авторизация","0","Успешный вход в систему","1","0","","0"
